Agent;Agent_Type;Chosen_Action;Performance_Score;Epoch
4300472321;rational;Flee;16.0;0
4295753729;runner;Flee;16.0;0
4295229441;runner;Flee;16.0;0
4299685889;greedy;Flee;-1.0;0
4297588737;rational;Flee;-1.0;0
4296540161;rational;Flee;-0.5;0
4296802305;rational;Flee;-1.0;0
4296278017;greedy;Flee;16.0;0
4301258753;runner;Flee;-0.5;0
4298375169;rational;Flee;16.0;0
4301783041;greedy;Flee;16.0;0
4295491585;greedy;Flee;-1.0;0
4302307329;attacker;Attack;-1.0;0
4303355905;attacker;Attack;-1.0;0
4300210177;greedy;Flee;-1.5;0
4302831617;greedy;Flee;16.0;0
4297850881;rational;Flee;0.0;0
4302569473;rational;Flee;0.0;0
4299948033;greedy;Flee;-1.5;0
4294967297;attacker;Attack;-1.5;0
4298637313;rational;Flee;16.0;0
4302045185;greedy;Flee;-1.0;0
4303880193;attacker;Attack;-1.0;0
4297064449;runner;Flee;16.0;0
4297064449;greedy;Flee;16.5;1
4297588737;rational;Flee;-1.0;1
4302045185;greedy;Flee;-1.0;1
4295753729;greedy;Flee;16.5;1
4300472321;rational;Flee;16.5;1
4299948033;rational;Flee;-1.0;1
4295491585;greedy;Flee;16.5;1
4302307329;rational;Flee;-1.0;1
4302831617;greedy;Flee;-1.0;1
4301258753;runner;Flee;-1.0;1
4299685889;attacker;Attack;-1.5;1
4295229441;runner;Flee;16.5;1
4296278017;rational;Flee;16.5;1
4300210177;runner;Flee;-1.5;1
4298375169;runner;Flee;16.5;1
4296540161;attacker;Attack;-1.5;1
4294967297;rational;Flee;-1.5;1
4298637313;rational;Flee;16.5;1
4303355905;attacker;Attack;-1.0;1
4303880193;attacker;Attack;-1.0;1
4297850881;greedy;Flee;-0.5;1
4296802305;greedy;Flee;-1.0;1
4302569473;rational;Flee;0.0;1
4301783041;greedy;Flee;16.5;1
4301258753;rational;Attack;2.5;2
4302045185;rational;Attack;3.0;2
4300210177;greedy;Attack;2.5;2
4301783041;rational;Attack;18.0;2
4303880193;greedy;Attack;18.0;2
4295753729;attacker;Attack;3.0;2
4302569473;rational;Attack;18.0;2
4299948033;rational;Attack;-1.5;2
4298375169;runner;Flee;14.0;2
4297850881;greedy;Attack;-1.0;2
4300472321;rational;Attack;14.0;2
4297064449;rational;Attack;18.0;2
4297588737;attacker;Attack;3.0;2
4299685889;greedy;Attack;2.5;2
4296540161;runner;Flee;-0.5;2
